t_host_s,baro.temp_C,pm.batteryLevel_pct,pm.chargeCurrent_mA,pm.state,pm.vbat_V
74.561,36.256,20.000,0.750,1,3.827
74.761,36.262,20.000,0.798,1,3.827
74.962,36.271,20.000,0.787,1,3.827
75.161,36.279,20.000,0.787,1,3.827
75.361,36.267,20.000,0.764,1,3.827
75.561,36.273,20.000,0.715,1,3.822
75.761,36.285,20.000,0.797,1,3.827
75.961,36.306,20.000,0.787,1,3.827
76.161,36.318,20.000,0.784,1,3.827
76.361,36.323,20.000,0.788,1,3.827
76.560,36.325,20.000,0.811,1,3.827
76.760,36.326,20.000,0.780,1,3.827
76.960,36.330,20.000,0.766,1,3.827
77.160,36.350,20.000,0.766,1,3.827
77.360,36.356,20.000,0.822,1,3.827
77.559,36.366,20.000,0.801,1,3.827
77.760,36.383,20.000,0.791,1,3.827
77.959,36.384,20.000,0.773,1,3.827
78.159,36.369,20.000,0.746,1,3.827
78.359,36.364,20.000,0.791,1,3.827
78.559,36.381,20.000,0.770,1,3.827
78.759,36.408,20.000,0.736,1,3.827
78.958,36.411,20.000,0.781,1,3.827
79.159,36.417,20.000,0.745,1,3.827
79.358,36.439,20.000,0.773,1,3.827
79.559,36.447,20.000,0.771,1,3.827
79.759,36.460,30.000,0.745,1,3.827
79.958,36.473,20.000,0.745,1,3.827
80.158,36.485,20.000,0.752,1,3.827
80.360,36.483,30.000,0.733,1,3.827
80.559,36.487,20.000,0.753,1,3.827
80.759,36.510,30.000,0.738,1,3.827
80.958,36.532,30.000,0.791,1,3.827
81.157,36.545,20.000,0.763,1,3.827
81.358,36.553,20.000,0.745,1,3.827
81.557,36.555,20.000,0.785,1,3.827
81.757,36.569,20.000,0.740,1,3.832
81.957,36.577,30.000,0.787,1,3.827
82.157,36.577,30.000,0.795,1,3.827
82.357,36.568,20.000,0.708,1,3.827
82.556,36.571,30.000,0.785,1,3.827
82.756,36.584,30.000,0.760,1,3.827
82.957,36.588,30.000,0.736,1,3.827
83.157,36.592,30.000,0.787,1,3.827
83.356,36.610,30.000,0.733,1,3.827
83.556,36.622,20.000,0.769,1,3.827
83.755,36.641,30.000,0.791,1,3.832
83.956,36.655,30.000,0.759,1,3.827
84.155,36.662,20.000,0.780,1,3.832
84.355,36.668,30.000,0.754,1,3.827
84.556,36.678,30.000,0.778,1,3.827
84.755,36.684,20.000,0.766,1,3.832
84.955,36.677,30.000,0.759,1,3.827
85.156,36.671,20.000,0.814,1,3.832
85.355,36.683,20.000,0.781,1,3.832
85.554,36.683,20.000,0.771,1,3.827
85.754,36.696,20.000,0.815,1,3.832
85.954,36.708,30.000,0.763,1,3.827
86.154,36.716,30.000,0.739,1,3.832
86.354,36.735,30.000,0.702,1,3.832
86.554,36.751,20.000,0.774,1,3.832
86.753,36.767,30.000,0.740,1,3.832
86.953,36.775,30.000,0.825,1,3.832
87.153,36.788,30.000,0.760,1,3.827
87.353,36.794,30.000,0.756,1,3.832
87.554,36.785,30.000,0.792,1,3.832
87.753,36.786,30.000,0.771,1,3.832
87.953,36.790,20.000,0.771,1,3.832
88.153,36.799,30.000,0.800,1,3.832
88.353,36.810,30.000,0.783,1,3.832
88.553,36.822,30.000,0.783,1,3.832
88.752,36.839,30.000,0.756,1,3.832
88.952,36.842,30.000,0.781,1,3.832
89.152,36.842,30.000,0.778,1,3.832
89.353,36.853,30.000,0.804,1,3.832
89.552,36.866,30.000,0.649,1,3.832
89.752,36.875,30.000,0.781,1,3.827
89.952,36.869,30.000,0.802,1,3.832
90.153,36.865,30.000,0.798,1,3.832
90.352,36.880,30.000,0.780,1,3.832
90.551,36.907,30.000,0.794,1,3.832
90.751,36.919,20.000,0.780,1,3.832
90.952,36.922,30.000,0.763,1,3.832
91.152,36.928,30.000,0.760,1,3.832
91.351,36.939,30.000,0.735,1,3.832
91.551,36.947,30.000,0.792,1,3.832
91.750,36.944,30.000,0.794,1,3.832
91.950,36.948,30.000,0.754,1,3.832
92.150,36.955,30.000,0.795,1,3.827
92.351,36.962,30.000,0.794,1,3.827
92.550,36.965,30.000,0.743,1,3.832
92.750,36.952,30.000,0.783,1,3.832
92.950,36.955,30.000,0.790,1,3.832
93.150,36.979,30.000,0.750,1,3.832
93.349,37.003,30.000,0.781,1,3.832
93.550,37.008,30.000,0.794,1,3.827
93.749,37.016,30.000,0.773,1,3.832
93.950,37.032,30.000,0.808,1,3.827
